match_key,canonical_label,mentions,n_variants,variants
amyotrophic lateral sclerosi some,Amyotrophic lateral sclerosis in some participants,2,2,Amyotrophic lateral sclerosis in some participants | Amyotrophic lateral sclerosis in some patients
cognitive impairment no,No cognitive impairment,2,1,No cognitive impairment
carcinoma evaluation extracranial metastase under,extracranial carcinoma/metastases under evaluation,2,1,extracranial carcinoma/metastases under evaluation
femur osteomyeliti right,osteomyelitis of the right femur,2,1,osteomyelitis of the right femur
loss origin unknown weight,loss of weight of unknown origin,2,1,loss of weight of unknown origin
basal cortico dementia,cortico-basal dementia,2,2,cortico-basal dementia | Cortico-basal dementia
svppa,svPPA,2,1,svPPA
nfvppa,nfvPPA,2,1,nfvPPA
control dementia frontotemporal healthy statu variant,Frontotemporal dementia variants and healthy control status,2,1,Frontotemporal dementia variants and healthy control status
behavior dementia fronto temporal variant,behavior variant fronto-temporal dementia,2,1,behavior variant fronto-temporal dementia
cognitive impairment mild nonamnestic,nonamnestic mild cognitive impairment,2,1,nonamnestic mild cognitive impairment
current disorder healthy neurological no or otherwize past psychiatric,No current or past neurological or psychiatric disorder; otherwise healthy participants,2,1,No current or past neurological or psychiatric disorder; otherwise healthy participants
bipolar disorder ii,bipolar II disorder,2,2,bipolar II disorder | Bipolar II disorder
disorder healthy neurological no or psychiatric,Healthy; no psychiatric or neurological disorder,2,2,Healthy; no psychiatric or neurological disorder | Healthy; no neurological or psychiatric disorders
child maltreatment,child maltreatment,2,1,child maltreatment
disorder mental no,no mental disorder,2,2,no mental disorder | No mental disorder
clinical high psychosi risk,Clinical high risk for psychosis,2,2,Clinical high risk for psychosis | clinical high risk for psychosis
dependent disorder personality,dependent personality disorder,2,1,dependent personality disorder
depressive disorder major unipolar,unipolar major depressive disorder,2,2,unipolar major depressive disorder | Unipolar major depressive disorder
anxiety disorder general,general anxiety disorder,2,2,general anxiety disorder | General Anxiety Disorder
bipolar disorder familial risk,Familial risk for bipolar disorder,2,2,Familial risk for bipolar disorder | familial risk for bipolar disorder
disorder ipv posttraumatic stress,IPV-PTSD,2,1,IPV-PTSD
externalizing psychopathology,Externalizing psychopathology,2,2,Externalizing psychopathology | externalizing psychopathology
abuse substance,substance abuse,2,1,substance abuse
depressive disorder familial major risk,familial risk for major depressive disorder,2,1,familial risk for major depressive disorder
disorder no post stress traumatic,no post-traumatic stress disorder,2,2,no post-traumatic stress disorder | No post-traumatic stress disorder
anxiety depressive disorder or,Depressive or anxiety disorder,2,1,Depressive or anxiety disorder
behavioral dysregulation emotional,behavioral and emotional dysregulation,2,1,behavioral and emotional dysregulation
adult elderly healthy,Healthy elderly adults,2,1,Healthy elderly adults
disease disorder healthy no or psychological seriou,No psychological disorder or serious disease; healthy participants,2,1,No psychological disorder or serious disease; healthy participants
apparently concurrent disorder healthy neurodegenerative no or otherwize psychiatric were,No concurrent psychiatric or neurodegenerative disorders; otherwise participants were apparently healthy,2,1,No concurrent psychiatric or neurodegenerative disorders; otherwise participants were apparently healthy
b cluster disorder personality,cluster B personality disorder,2,2,cluster B personality disorder | Cluster B personality disorders
history illnesse medical no or psychiatric,no history of psychiatric or medical illnesses,2,2,no history of psychiatric or medical illnesses | no history of medical or psychiatric illnesses
axi dsm i iv no,No DSM-IV Axis I condition,2,2,No DSM-IV Axis I condition | no DSM-IV Axis I diagnosis
healthy illness neurological or psychiatric without,healthy participants without neurological or psychiatric illness,2,1,healthy participants without neurological or psychiatric illness
disorder gambling,gambling disorder,2,2,gambling disorder | Gambling disorder
adolescent current healthy illness mental no or previou,Healthy adolescents; no current or previous diagnosis of mental illness,2,1,Healthy adolescents; no current or previous diagnosis of mental illness
concern weight,Weight concerns,2,1,Weight concerns
dissociative subtype,dissociative subtype,2,1,dissociative subtype
axi current disorder dsm i ii iv no past,no current and past DSM-IV Axis I and II disorder,2,1,no current and past DSM-IV Axis I and II disorder
history illness no psychiatric,no history of psychiatric illness,2,1,no history of psychiatric illness
phobia spider,spider phobia,2,1,spider phobia
alcohol cannabi misuse or problem,alcohol and/or cannabis misuse problems,2,1,alcohol and/or cannabis misuse problems
agoraphobia attack history panic without,agoraphobia without a history of panic attacks,2,1,agoraphobia without a history of panic attacks
depressive disorder major remitted,Remitted major depressive disorder,2,2,Remitted major depressive disorder | remitted major depressive disorder
current disorder neurological no or past psychiatric,no current or past neurological or psychiatric disorder,2,1,no current or past neurological or psychiatric disorder
history illness neurological no none or psychiatric reported,none reported; no history of neurological or psychiatric illness,2,1,none reported; no history of neurological or psychiatric illness
depressed depressive disorder episode major,major depressive disorder in depressed episode,2,1,major depressive disorder in depressed episode
depressed never,never-depressed,2,1,never-depressed
control healthy no psychiatric reported,No psychiatric diagnosis reported; healthy control participants,2,1,No psychiatric diagnosis reported; healthy control participants
anxiety disorder no,No anxiety disorder,2,1,No anxiety disorder
generalized phobia social,Generalized Social Phobia (GSP),2,1,Generalized Social Phobia (GSP)
disorder free from neurological none or psychiatric reported substance use,"none reported; free from psychiatric, neurological or substance use disorders",2,1,"none reported; free from psychiatric, neurological or substance use disorders"
but current disorder healthy highly individual neurological no or psychiatric stressed,Highly stressed but healthy individuals; no current psychiatric or neurological disorders.,2,1,Highly stressed but healthy individuals; no current psychiatric or neurological disorders.
positive proneness psychosi,positive psychosis proneness,2,1,positive psychosis proneness
absence disorder posttraumatic stress,absence of PTSD,2,1,absence of PTSD
current free neurological none or psychiatric reported,none reported; free of current psychiatric or neurological conditions,2,1,none reported; free of current psychiatric or neurological conditions
early life stress,early life stress,2,1,early life stress
developing psychosi risk ultrahigh,ultrahigh risk for developing psychosis,2,1,ultrahigh risk for developing psychosis
disorder neurological,Functional Neurological Disorder,2,1,Functional Neurological Disorder
childhood maltreatment,childhood maltreatment,2,1,childhood maltreatment
adhd,ADHD,2,1,ADHD
complex disorder posttraumatic stress,complex PTSD,2,1,complex PTSD
absence abuse dependence or substance,absence of substance abuse or dependence,2,1,absence of substance abuse or dependence
alcohol dependence lifetime,Lifetime alcohol dependence,2,1,Lifetime alcohol dependence
mdma use,MDMA use,2,1,MDMA use
abuse dependence no or substance,No substance abuse or dependence,2,2,No substance abuse or dependence | No substance abuse or dependence diagnosis
heavy marijuana use,heavy marijuana use,2,2,heavy marijuana use | Heavy marijuana use
daily marijuana use,daily marijuana use,2,1,daily marijuana use
control drug healthy naive,drug-naïve healthy controls,2,1,drug-naïve healthy controls
disease healthy neurological or psychiatric volunteer without,Healthy volunteers without neurological or psychiatric diseases,2,1,Healthy volunteers without neurological or psychiatric diseases
chronic cocaine use,chronic cocaine use,2,1,chronic cocaine use
cocaine current disorder use,current cocaine use disorder,2,1,current cocaine use disorder
brain influence known medical morphology neurologic no or psychiatric suspected to,"No medical, neurologic, or psychiatric conditions known or suspected to influence brain morphology",2,1,"No medical, neurologic, or psychiatric conditions known or suspected to influence brain morphology"
clinically cognitive impairment no significant,No clinically significant cognitive impairment,2,1,No clinically significant cognitive impairment
clinically depression no significant,No clinically significant depression,2,1,No clinically significant depression
no stroke,No stroke,2,1,No stroke
medical no seriou,No serious medical conditions,2,1,No serious medical conditions
29 9 amphetamine case cocaine dependence full psu psychostimulant,Psychostimulant dependence; 29 cocaine and 9 amphetamine cases in the full PSU group,2,1,Psychostimulant dependence; 29 cocaine and 9 amphetamine cases in the full PSU group
cannabi dependence opioid some use,Some participants with opioid dependence and cannabis use,2,1,Some participants with opioid dependence and cannabis use
control neurologically normal,neurologically normal controls,2,1,neurologically normal controls
alcohol disorder history no use,no history of an AUD,2,1,no history of an AUD
elevated genetic risk schizophrenia,elevated genetic risk of schizophrenia,2,1,elevated genetic risk of schizophrenia
dwi first offence,first DWI offence,2,1,first DWI offence
cocaine crack dependence,crack-cocaine dependence,2,1,crack-cocaine dependence
abuse alcohol chronic,chronic alcohol abuse,2,1,chronic alcohol abuse
alcohol fetal syndrome,fetal alcohol syndrome,2,1,fetal alcohol syndrome
exposure smoking,smoking exposure,2,1,smoking exposure
cigarette exposure no smoking,no cigarette smoking exposure,2,1,no cigarette smoking exposure
axi i no,no Axis I diagnosis,2,2,no Axis I diagnosis | No Axis I diagnosis
cognitively elderly healthy individual normal,healthy cognitively normal elderly individuals,2,1,healthy cognitively normal elderly individuals
